probeid,GB_ACC
Ta.28063.2.S1_at,CA604447
Ta.28063.3.S1_x_at,CA652821
Ta.28066.2.A1_a_at,BJ265983
Ta.28067.1.S1_x_at,CA705547
Ta.28068.1.S1_at,CD862522
Ta.28069.1.A1_at,CD454289
Ta.2807.1.A1_at,CD886096
Ta.2807.1.A1_s_at,CD886096
Ta.28072.1.S1_at,BQ838284
Ta.28073.1.S1_at,CK213038
Ta.28074.1.S1_at,CA499507
Ta.28077.1.S1_s_at,BJ254936
Ta.28077.1.S1_x_at,BJ254936
Ta.28078.1.A1_s_at,BJ272126
Ta.28078.1.A1_x_at,BJ272126
Ta.28078.2.A1_x_at,BJ276640
Ta.28078.3.S1_at,BJ271411
Ta.28079.1.S1_x_at,BJ269953
Ta.2808.1.A1_at,BG905806
Ta.28081.1.S1_at,BT009326.1
Ta.28083.1.S1_at,X58279.1
Ta.28085.1.S1_at,BQ170562
Ta.28085.2.S1_x_at,CA598216
Ta.28087.1.S1_s_at,BT008922.1
Ta.28089.1.S1_at,CA604133
Ta.2809.1.S1_s_at,CD935951
Ta.28090.1.S1_at,BJ227031
Ta.28090.2.S1_at,CA599290
Ta.28090.2.S1_a_at,CA599290
Ta.28090.3.S1_a_at,CA630627
Ta.28091.1.S1_at,CA604979
Ta.28092.1.S1_s_at,CA606754
Ta.28095.1.S1_at,CA634831
Ta.28095.1.S1_x_at,CA634831
Ta.28096.2.S1_at,CA609827
Ta.28098.1.S1_x_at,CA610951
Ta.28098.2.S1_at,CA605873
Ta.2810.1.S1_s_at,CD900967
Ta.28100.1.S1_a_at,BQ162700
Ta.28102.1.A1_at,BQ172004
Ta.28103.1.S1_s_at,CA613215
Ta.28104.1.S1_at,CA615172
Ta.28105.1.A1_s_at,BQ165933
Ta.28106.2.S1_at,BJ249413
Ta.28108.1.S1_at,CA619092
Ta.28109.1.A1_at,CA617283
Ta.28111.1.A1_at,CA618158
Ta.28112.1.S1_at,CK212220
Ta.28115.1.S1_at,CA663344
Ta.28116.1.A1_at,CA623964
Ta.28117.1.S1_x_at,CA648422
Ta.28117.2.S1_at,CA605300
Ta.28117.2.S1_x_at,CA605300
Ta.28121.1.S1_at,CA627002
Ta.28122.1.S1_at,CA624634
Ta.28123.1.S1_at,BJ240857
Ta.28125.1.A1_at,CA608915
Ta.28125.2.S1_at,CA629648
Ta.28126.2.S1_a_at,CA630337
Ta.28127.1.S1_at,CD884071
Ta.28127.2.S1_at,CA630480
Ta.28127.2.S1_a_at,CA630480
Ta.28127.3.S1_at,CA700133
Ta.28131.1.S1_at,CA632621
Ta.28131.1.S1_x_at,CA632621
Ta.28132.1.S1_x_at,CA632830
Ta.28133.1.A1_s_at,CA636835
Ta.28135.1.S1_at,CA634994
Ta.28136.1.S1_x_at,CK160740
Ta.28138.1.S1_at,BJ253357
Ta.28139.1.S1_at,CK216349
Ta.28139.2.S1_x_at,CA635297
Ta.28139.3.S1_at,CA630682
Ta.28140.1.A1_a_at,CK199915
Ta.28141.1.S1_x_at,CK213128
Ta.28142.1.A1_at,BQ484076
Ta.28142.2.S1_at,CA644586
Ta.28144.1.S1_at,BJ220648
Ta.28145.1.S1_x_at,CA603299
Ta.28146.1.S1_s_at,CA638547
Ta.28146.1.S1_x_at,CA638547
Ta.28147.1.S1_s_at,CA638707
Ta.28148.1.S1_at,CA622583
Ta.2815.2.S1_at,CA600457
Ta.2815.3.S1_a_at,CA593831
Ta.28151.1.A1_at,CA604219
Ta.28151.2.A1_a_at,CA661603
Ta.28154.1.S1_x_at,CK194958
Ta.28154.2.S1_at,CA659254
Ta.28154.2.S1_s_at,CA659254
Ta.28155.1.S1_x_at,CA638190
Ta.28157.1.S1_at,CA642241
Ta.2816.2.S1_a_at,CA747268
Ta.28160.1.S1_x_at,CD867734
Ta.28161.1.S1_at,CN010808
Ta.28161.2.S1_at,CA740857
Ta.28162.1.S1_at,CA644875
Ta.28165.1.S1_at,BQ160992
Ta.28165.1.S1_x_at,BQ160992
Ta.28166.1.S1_a_at,CK196883
Ta.28166.2.S1_at,CA640004
Ta.28166.2.S1_a_at,CA640004
Ta.28166.2.S1_x_at,CA640004
Ta.28169.1.S1_at,CA601931
Ta.28169.2.S1_at,CA607253
Ta.2817.1.S1_at,BJ212918
Ta.28170.1.S1_s_at,CA722194
Ta.28170.1.S1_x_at,CA722194
Ta.28170.2.S1_x_at,BJ281672
Ta.28171.1.S1_at,BT008992.1
Ta.28173.1.A1_at,CA648951
Ta.28173.1.A1_s_at,CA648951
Ta.28175.1.A1_x_at,CA649601
Ta.28177.1.A1_at,CA650362
Ta.28179.1.S1_x_at,CA647078
Ta.28179.2.S1_at,CA650959
Ta.2818.1.S1_x_at,BJ319737
Ta.2818.2.S1_at,CA615509
Ta.2818.2.S1_x_at,CA615509
Ta.2818.3.S1_x_at,BJ300907
Ta.28180.3.S1_at,BE493006
Ta.28181.1.A1_s_at,CA651335
Ta.28182.1.A1_x_at,BJ318940
Ta.28183.3.S1_at,CA601727
Ta.28185.1.S1_at,AL820475
Ta.28185.1.S1_x_at,AL820475
Ta.28185.2.S1_x_at,CD869435
Ta.28185.3.S1_at,CD902302
Ta.28185.3.S1_x_at,CD902302
Ta.28186.2.A1_at,CA671332
Ta.28186.2.A1_a_at,CA671332
Ta.28187.1.S1_at,CA635759
Ta.28187.2.S1_at,BJ278477
Ta.28187.2.S1_x_at,BJ278477
Ta.28187.3.S1_at,CA653192
Ta.28188.1.S1_at,CK207520
Ta.28188.3.S1_s_at,CA604824
Ta.28189.1.S1_at,CA653567
Ta.2819.2.S1_a_at,BJ212220
Ta.28190.1.A1_at,BQ166707
Ta.28190.2.S1_at,CA654134
Ta.28190.2.S1_a_at,CA654134
Ta.28190.3.S1_x_at,CA654136
Ta.28191.1.S1_at,BQ161942
Ta.28192.1.A1_at,CA655726
Ta.28196.1.A1_at,CA657028
Ta.28197.1.S1_at,BQ620267
Ta.28199.1.S1_at,BJ297475
Ta.28199.2.A1_at,BJ319956
Ta.2820.1.S1_at,BT009111.1
Ta.28201.1.S1_at,CD868555
Ta.28202.1.S1_at,CK205498
Ta.28202.1.S1_x_at,CK205498
Ta.28202.3.S1_x_at,CA699136
Ta.28203.1.S1_at,BG262830
Ta.28203.2.S1_s_at,CA650863
Ta.28203.3.S1_at,CA661270
Ta.28204.1.S1_at,BJ220521
Ta.28204.1.S1_x_at,BJ220521
Ta.28204.2.S1_at,CD930361
Ta.28204.2.S1_x_at,CD930361
Ta.28204.3.S1_at,BQ240336
Ta.28205.1.A1_s_at,CA661045
Ta.28206.1.S1_at,BQ162426
Ta.28206.2.S1_a_at,BJ318149
Ta.28206.2.S1_x_at,BJ318149
Ta.28206.3.S1_a_at,CA661286
Ta.28207.1.S1_at,BQ743929
Ta.28208.1.A1_x_at,BJ299269
Ta.28209.1.S1_a_at,CK209443
Ta.28209.2.S1_x_at,AJ614964
Ta.28209.3.S1_at,CA501917
Ta.28209.3.S1_x_at,CA501917
Ta.2821.1.S1_at,BJ237571
Ta.2821.2.S1_at,BJ219946
Ta.28212.1.S1_at,BJ272457
Ta.28212.1.S1_x_at,BJ272457
Ta.28213.1.A1_x_at,BJ260177
Ta.28215.1.A1_at,CA663503
Ta.28216.1.A1_at,CA663707
Ta.28218.1.S1_a_at,CK157558
Ta.28218.2.A1_at,BJ268370
Ta.28219.1.A1_at,CA698466
Ta.28219.2.S1_at,CA663935
Ta.2822.1.S1_x_at,CD453902
Ta.2822.2.S1_at,CD901708
Ta.2822.3.S1_at,BE515978
Ta.28220.1.S1_at,BJ274890
Ta.28221.1.A1_at,CA665061
Ta.28222.1.S1_at,BJ298454
Ta.28223.1.S1_a_at,CA708440
Ta.28224.1.S1_x_at,CK193135
Ta.28224.2.S1_x_at,BQ172227
Ta.28224.3.S1_x_at,CA727379
Ta.28225.1.A1_at,CA665924
Ta.28228.1.S1_at,CK153150
Ta.28228.2.S1_at,CA633922
Ta.2823.1.S1_at,CA595996
Ta.28232.1.S1_at,CA671761
Ta.28232.2.A1_at,CA685938
Ta.28233.1.S1_at,CA599187
Ta.28233.2.S1_at,CA695499
Ta.28233.2.S1_a_at,CA695499
Ta.28234.1.A1_at,CA671249
Ta.28235.1.A1_s_at,BJ214932
Ta.28236.1.S1_x_at,CA675023
Ta.28239.1.S1_at,CA674599
Ta.28242.1.S1_at,CK216078
Ta.28242.1.S1_x_at,CK216078
Ta.28242.2.S1_x_at,CA630100
Ta.28243.1.A1_x_at,CA676486
Ta.28244.1.A1_s_at,CA631663
Ta.28244.1.A1_x_at,CA631663
Ta.28244.2.S1_at,CA628061
Ta.28246.1.S1_at,CA677499
Ta.28247.1.S1_at,CA677968
Ta.2825.1.S1_a_at,CD876943
Ta.2825.3.S1_x_at,CA655458
Ta.28250.1.S1_s_at,BJ252283
Ta.28250.2.S1_at,CA681798
Ta.28250.2.S1_a_at,CA681798
Ta.28251.1.S1_at,CA679853
Ta.28252.1.A1_at,CA664046
Ta.28252.1.A1_x_at,CA664046
Ta.28253.1.S1_at,BJ250223
Ta.28254.1.S1_s_at,BJ274136
Ta.28255.1.A1_at,CA680800
Ta.28257.1.S1_x_at,CK210991
Ta.28257.2.S1_a_at,BJ237634
Ta.28257.2.S1_x_at,BJ237634
Ta.28258.1.S1_at,CD935931
Ta.28259.1.S1_x_at,CA682014
Ta.28259.2.A1_at,CA651908
Ta.28259.3.S1_at,CA681774
Ta.2826.1.S1_at,AF366565.1
Ta.28260.1.S1_at,CA641807
Ta.28260.1.S1_a_at,CA641807
Ta.28260.2.S1_at,CA677844
Ta.28260.3.A1_at,BE446393
Ta.28262.1.S1_at,CA643249
Ta.28262.3.S1_at,CA664460
Ta.28263.1.S1_at,CA696483
Ta.28264.1.S1_at,BJ220721
Ta.28264.2.S1_at,CA665168
Ta.28265.1.S1_at,CK213341
Ta.28266.2.S1_at,CA620076
Ta.28266.3.S1_x_at,CA626001
Ta.28267.1.S1_a_at,CD879804
Ta.28267.3.A1_at,CA630555
Ta.28268.1.S1_x_at,CA690186
Ta.28269.2.S1_at,CA690589
Ta.2827.1.S1_x_at,CA647863
Ta.2827.2.S1_at,CA677033
Ta.2827.3.S1_at,CA680878
Ta.28270.1.S1_x_at,CD863364
Ta.28271.1.S1_at,CD871364
Ta.28271.2.A1_at,CA677950
Ta.28273.1.S1_x_at,BQ483998
Ta.28274.1.S1_at,BJ230853
Ta.28274.1.S1_s_at,BJ230853
Ta.28274.2.S1_at,CA693504
Ta.28275.1.S1_x_at,CA658404
Ta.28275.2.S1_a_at,CA655375
Ta.28275.3.S1_x_at,CA613218
Ta.28276.1.S1_a_at,BQ162680
Ta.28276.1.S1_x_at,BQ162680
Ta.28276.2.S1_at,AJ613933
Ta.28276.2.S1_x_at,AJ613933
Ta.28276.3.A1_at,CA635278
Ta.28279.1.S1_at,CA694406
Ta.28280.1.S1_at,CA694689
Ta.28281.1.S1_at,BE446031
Ta.28281.2.A1_at,CA695259
Ta.28281.3.S1_a_at,BJ316702
Ta.28283.1.S1_at,CA604346
Ta.28284.1.S1_at,BJ317653
Ta.28284.2.S1_at,BJ289073
Ta.28285.1.S1_x_at,CA697053
Ta.28289.1.S1_a_at,CA747010
Ta.28289.1.S1_x_at,CA747010
Ta.28289.2.S1_at,CA689394
Ta.28289.2.S1_x_at,CA689394
Ta.2829.1.S1_at,BJ276957
Ta.28290.1.S1_at,CA676673
Ta.28290.1.S1_x_at,CA676673
Ta.28291.1.S1_at,BJ318276
Ta.28291.2.S1_x_at,BJ308939
Ta.28291.3.S1_x_at,BJ318761
Ta.28291.4.S1_at,BJ297604
Ta.28291.4.S1_x_at,BJ297604
Ta.28292.1.S1_at,BJ253007
Ta.28292.2.S1_s_at,BJ253295
Ta.28293.1.S1_at,BQ162005
Ta.28294.1.S1_x_at,BQ619841
Ta.28295.2.S1_at,CA637787
Ta.28296.1.S1_at,CA712389
Ta.28298.1.S1_x_at,CK216466
Ta.28299.1.S1_at,CD867621
Ta.28299.1.S1_x_at,CD867621
Ta.28299.2.S1_at,BE515497
Ta.28299.2.S1_x_at,BE515497
Ta.28299.3.S1_at,CA610452
Ta.2830.1.S1_at,CD934919
Ta.2830.2.S1_a_at,CA611439
Ta.28300.1.A1_s_at,CA631079
Ta.28302.1.S1_at,BQ169396
Ta.28302.1.S1_x_at,BQ169396
Ta.28303.1.S1_at,CA603397
Ta.28304.1.S1_x_at,BE430114
Ta.28304.2.S1_x_at,CK212026
Ta.28305.1.S1_a_at,CD453546
Ta.28306.1.S1_at,BJ274195
Ta.28306.2.S1_at,BJ226490
Ta.28307.1.S1_s_at,BJ266961
Ta.28308.1.S1_at,BJ217291
Ta.2831.1.S1_at,CA597709
Ta.28311.2.S1_x_at,CA630222
Ta.28312.1.S1_at,BJ241990
Ta.28312.1.S1_x_at,BJ241990
Ta.28312.2.S1_x_at,BQ804999
Ta.28313.1.S1_at,BJ293939
Ta.28314.1.S1_at,AY222861.1
Ta.28315.1.S1_at,BT009013.1
Ta.28316.1.S1_at,BJ230170
Ta.28316.2.S1_x_at,BJ251154
Ta.28316.3.S1_at,BJ252450
Ta.28316.4.S1_x_at,CK169605
Ta.28317.1.S1_at,BQ806898
Ta.28317.1.S1_x_at,BQ806898
Ta.28317.2.S1_x_at,BJ227573
Ta.28317.3.S1_at,BJ320891
Ta.28317.3.S1_x_at,BJ320891
Ta.28319.1.S1_at,CK217853
Ta.28320.1.S1_s_at,CK217025
Ta.28321.1.S1_a_at,CK211481
Ta.28321.2.S1_x_at,BQ805795
Ta.28322.1.S1_s_at,BT009577.1
Ta.28325.1.S1_x_at,CD877796
Ta.28327.1.S1_x_at,CD916923
Ta.28328.2.S1_x_at,CA706101
Ta.28330.1.S1_at,BT009588.1
Ta.28331.1.S1_at,CK168580
Ta.28331.1.S1_x_at,CK168580
Ta.28332.1.S1_at,CD899227
Ta.28333.1.S1_s_at,BJ314127
Ta.28333.2.S1_at,CA641628
Ta.28334.1.S1_at,BJ283981
Ta.28335.1.S1_at,BJ306130
Ta.28336.1.S1_x_at,CK152774
Ta.28336.2.S1_at,CA634978
Ta.28337.1.S1_at,CA639642
Ta.28337.1.S1_x_at,CA639642
Ta.28337.2.S1_x_at,BQ838101
Ta.28338.1.S1_at,BJ209481
Ta.28339.1.S1_at,BE470569
Ta.2834.1.S1_at,CD894938
Ta.2834.1.S1_s_at,CD894938
Ta.28340.1.S1_at,BJ263506
Ta.28341.1.S1_at,BJ272630
Ta.28341.1.S1_x_at,BJ272630
Ta.28341.2.S1_at,CN013197
Ta.28341.2.S1_x_at,CN013197
Ta.28342.1.A1_at,CA721750
Ta.28343.1.A1_at,AJ603305
Ta.28344.1.A1_x_at,CA722231
Ta.28346.2.S1_x_at,BQ803540
Ta.28346.3.S1_at,CA610936
Ta.28346.3.S1_x_at,CA610936
Ta.28347.1.S1_s_at,CA722297
Ta.28347.2.S1_at,BQ482875
Ta.28349.1.S1_at,BJ243053
Ta.28349.1.S1_x_at,BJ243053
Ta.2835.2.S1_a_at,CA502464
Ta.2835.3.A1_at,CA611027
Ta.2835.3.A1_a_at,CA611027
Ta.2835.3.A1_x_at,CA611027
Ta.28350.1.S1_a_at,CK171662
Ta.28351.1.S1_at,CK215324
Ta.28351.1.S1_s_at,CK215324
Ta.28351.1.S1_x_at,CK215324
Ta.28352.1.A1_at,CA722746
Ta.28353.1.S1_at,BQ752795
Ta.28353.1.S1_x_at,BQ752795
Ta.28353.2.S1_at,CA645911
Ta.28354.1.A1_at,CK210870
Ta.28354.1.S1_at,BJ267628
Ta.28354.2.S1_at,CD861998
Ta.28354.2.S1_x_at,CD861998
Ta.28354.3.S1_x_at,BQ902312
Ta.28354.4.S1_at,BJ285199
Ta.28355.1.S1_at,CA722170
Ta.28355.1.S1_a_at,CA722170
Ta.28355.1.S1_x_at,CA722170
Ta.28355.2.S1_a_at,CA498269
Ta.28355.2.S1_x_at,CA498269
Ta.28355.3.S1_x_at,BJ242210
Ta.28356.1.S1_at,BJ275200
Ta.28357.1.A1_s_at,CA723868
Ta.28358.1.S1_at,CA632030
Ta.28358.2.S1_at,CA606993
Ta.28358.2.S1_x_at,CA606993
Ta.28358.3.S1_at,CA724188
Ta.28358.3.S1_x_at,CA724188
Ta.28360.1.A1_at,CD453027
Ta.28360.2.S1_at,CA724750
Ta.28361.1.S1_x_at,CA619696
Ta.28361.2.S1_at,CK216267
Ta.28361.2.S1_x_at,CK216267
Ta.28361.3.S1_x_at,CA632972
Ta.28363.1.A1_at,BG904047
Ta.28363.1.A1_x_at,BG904047
Ta.28363.2.S1_at,BE217056
Ta.28363.2.S1_a_at,BE217056
Ta.28363.3.S1_x_at,BJ247288
Ta.28364.1.S1_at,AY543630.1
Ta.28364.1.S1_x_at,AY543630.1
Ta.28365.1.S1_s_at,BE416744
Ta.28366.1.S1_at,CA646820
Ta.28366.1.S1_a_at,CA646820
Ta.28366.1.S1_x_at,CA646820
Ta.28366.2.S1_x_at,BJ296091
Ta.28367.1.S1_at,BJ265147
Ta.28368.1.S1_x_at,CK206492
Ta.28368.2.S1_at,CB307729
Ta.28369.1.S1_at,CA727825
Ta.2837.1.S1_s_at,U76746.1
Ta.28370.1.S1_at,CA728072
Ta.28371.1.S1_s_at,BJ215792
Ta.28371.2.S1_at,CA627206
Ta.28372.1.S1_a_at,BJ250421
Ta.28374.1.S1_at,BJ290913
Ta.28375.1.S1_at,BQ743465
Ta.28376.1.S1_at,CK167966
Ta.28377.1.S1_at,CK161941
Ta.28377.2.S1_s_at,CA699777
Ta.28377.2.S1_x_at,CA699777
Ta.28378.1.S1_at,BJ292422
Ta.28378.1.S1_x_at,BJ292422
Ta.28378.2.S1_at,BE515510
Ta.28378.3.A1_at,BJ299726
Ta.28379.1.S1_x_at,BQ806534
Ta.28379.2.S1_at,CA734117
Ta.28379.2.S1_x_at,CA734117
Ta.28379.3.S1_x_at,CA702668
Ta.2838.1.S1_at,BE516807
Ta.2838.2.S1_x_at,CA611904
Ta.2838.3.S1_at,CA734016
Ta.2838.3.S1_x_at,CA734016
Ta.28381.2.S1_a_at,CA745314
Ta.28384.1.S1_at,CA735041
Ta.28384.1.S1_s_at,CA735041
Ta.28385.1.S1_at,CA661276
Ta.28385.1.S1_x_at,CA661276
Ta.28385.2.S1_at,CA616318
Ta.28386.1.A1_at,CA630735
Ta.28386.2.S1_at,CA735686
Ta.28386.2.S1_s_at,CA735686
Ta.28388.1.S1_at,CK162361
Ta.28389.1.A1_at,CA602703
Ta.28389.1.A1_s_at,CA602703
Ta.2839.1.S1_at,CD876245
Ta.28391.1.S1_at,BJ239637
Ta.28391.2.S1_at,CK164255
Ta.28393.1.S1_at,BG607691
Ta.28393.1.S1_a_at,BG607691
Ta.28393.1.S1_x_at,BG607691
Ta.28393.2.S1_at,CK195651
Ta.28393.2.S1_x_at,CK195651
Ta.28393.3.S1_at,CD892318
Ta.28393.3.S1_x_at,CD892318
Ta.28394.1.S1_a_at,CK211214
Ta.28394.1.S1_s_at,CK211214
Ta.28394.2.S1_x_at,CA665186
Ta.28394.3.S1_x_at,CD906649
Ta.28395.1.A1_at,CA658354
Ta.28397.1.A1_at,CD454353
Ta.28398.1.S1_x_at,CK211470
Ta.28398.2.S1_at,CA619784
Ta.28398.2.S1_x_at,CA619784
Ta.28398.3.S1_at,CA679147
Ta.28398.3.S1_a_at,CA679147
Ta.28398.3.S1_x_at,CA679147
Ta.28399.1.S1_x_at,CD865477
Ta.284.1.S1_at,CD891899
Ta.2840.1.S1_at,BJ311413
Ta.28400.1.S1_at,CK160320
Ta.28400.1.S1_x_at,CK160320
Ta.28402.1.A1_at,CD454132
Ta.28403.1.S1_x_at,CK192904
Ta.28404.1.S1_at,CD454641
Ta.28404.1.S1_s_at,CD454641
Ta.28406.1.A1_s_at,BJ275889
Ta.28407.1.S1_at,CD452730
Ta.28409.1.A1_at,BQ171522
Ta.2841.1.S1_s_at,CK171594
Ta.2841.1.S1_x_at,CK171594
Ta.28410.1.S1_at,CA607784
Ta.28411.1.A1_at,BQ162281
Ta.28413.1.A1_at,CD897668
Ta.28414.1.S1_at,CK168845
Ta.28416.1.A1_at,BJ239844
Ta.28418.1.A1_at,BJ260620
Ta.28419.1.S1_at,CA645141
Ta.2842.1.S1_at,BJ211734
Ta.2842.1.S1_s_at,BJ211734
Ta.28420.1.A1_x_at,BE517155
Ta.28421.1.S1_at,CA695974
Ta.28422.1.A1_s_at,BJ317142
Ta.28423.1.S1_at,BJ318756
Ta.28423.1.S1_x_at,BJ318756
Ta.28423.2.S1_at,CA609386
Ta.28423.3.S1_at,CA592984
Ta.28424.1.S1_at,CF133276
Ta.28425.1.A1_at,BQ162430
Ta.28426.1.S1_a_at,BJ231744
Ta.28426.2.S1_at,BJ319209
Ta.28428.1.A1_at,CD916734
Ta.28431.1.A1_at,CA602829
Ta.28432.1.S1_at,BQ171475
Ta.28433.1.S1_at,BJ287573
Ta.28434.1.S1_x_at,BQ295290
Ta.28434.2.S1_x_at,BJ220234
Ta.28435.1.S1_at,CD874594
Ta.28436.1.A1_at,CF133751
Ta.28437.1.A1_x_at,BJ237829
Ta.28437.2.S1_s_at,CK205281
Ta.28437.3.S1_x_at,CK216447
Ta.28438.1.A1_at,BJ320939
Ta.28439.2.S1_at,CA678422
Ta.28439.2.S1_x_at,CA678422
Ta.28440.1.S1_x_at,CK194877
Ta.28440.2.S1_at,CA648597
Ta.28440.2.S1_a_at,CA648597
Ta.28441.1.S1_at,CF132895
Ta.28441.1.S1_x_at,CF132895
Ta.28443.1.S1_at,CF133052
Ta.28445.1.S1_at,CF133117
Ta.28445.1.S1_s_at,CF133117
Ta.28445.1.S1_x_at,CF133117
Ta.28446.1.S1_at,CF133206
Ta.28448.1.S1_at,CF133610
Ta.28448.1.S1_s_at,CF133610
Ta.28449.1.S1_at,CF133700
Ta.2845.1.S1_at,BT009484.1
Ta.28450.1.S1_at,CF133859
Ta.28452.1.S1_at,CF134065
Ta.28453.1.S1_at,CF134083
Ta.28454.1.S1_at,CF134182
Ta.28455.1.S1_at,CF134339
Ta.28457.1.A1_at,CF133123
Ta.28458.1.S1_x_at,CA634382
Ta.28458.2.S1_at,CF133387
Ta.2846.1.S1_at,CD868360
Ta.28461.1.S1_at,CF134033
Ta.28462.1.S1_at,CF134088
Ta.28463.1.S1_a_at,CF134089
Ta.28464.1.S1_at,CF134137
Ta.28465.1.S1_at,CA661166
Ta.28466.1.S1_at,X99982.1
Ta.28467.1.S1_at,AY173961.1
Ta.28468.1.A1_at,CA641103
Ta.28468.2.S1_s_at,BJ301728
Ta.28468.2.S1_x_at,BJ301728
Ta.28468.3.S1_at,CA649734
Ta.28469.2.S1_a_at,BJ305613
Ta.28469.3.A1_at,BQ165948
Ta.28469.3.A1_x_at,BQ165948
Ta.2847.1.S1_at,CK198392
Ta.28470.1.S1_x_at,CA597657
Ta.28471.1.S1_x_at,BJ273142
Ta.28471.2.S1_at,CA601691
Ta.28472.1.S1_at,BE429461
Ta.28474.1.A1_at,CN010189
Ta.28475.1.A1_at,CA722655
Ta.28476.1.S1_at,CK198664
Ta.28476.2.S1_at,CA631822
Ta.28476.2.S1_x_at,CA631822
Ta.28477.1.S1_at,BJ311340
Ta.28478.1.A1_at,BQ160966
Ta.28479.1.S1_at,BJ286275
Ta.2848.1.S1_at,BQ605815
Ta.2848.1.S1_x_at,BQ605815
Ta.28480.1.S1_at,CD452788
Ta.28480.1.S1_s_at,CD452788
Ta.28481.1.S1_at,BQ166043
Ta.28482.1.A1_x_at,BE398377
Ta.28483.1.S1_at,CA603622
Ta.28483.2.S1_at,CA700267
Ta.28484.1.S1_at,CA500328
Ta.28484.1.S1_s_at,CA500328
Ta.28485.1.S1_x_at,CK214600
Ta.28486.1.A1_at,CA719316
Ta.28487.1.S1_at,CD932862
Ta.28487.2.S1_a_at,BJ220768
Ta.28487.2.S1_x_at,BJ220768
Ta.28488.1.S1_at,CK205419
Ta.28489.1.A1_at,BQ167573
Ta.2849.1.S1_at,CK203000
Ta.28490.1.A1_s_at,BQ162795
Ta.28492.1.S1_at,BQ161550
Ta.28493.1.S1_at,CA675210
Ta.28493.1.S1_x_at,CA675210
Ta.28493.2.S1_s_at,CA663757
Ta.28494.1.S1_s_at,CN011111
Ta.28494.1.S1_x_at,CN011111
Ta.28494.2.S1_at,CD454848
Ta.28494.2.S1_x_at,CD454848
Ta.28495.1.S1_x_at,BJ207229
Ta.28496.1.A1_at,BQ172277
Ta.28496.1.A1_x_at,BQ172277
Ta.28497.1.A1_at,BJ299231
Ta.28498.1.S1_at,CK154432
Ta.28499.1.S1_at,BJ213721
Ta.285.1.S1_s_at,CK163821
Ta.285.2.S1_at,BJ210519
Ta.2850.1.S1_at,BQ487328
Ta.2850.2.S1_at,BE213515
Ta.28501.1.S1_a_at,CK206587
Ta.28501.1.S1_x_at,CK206587
Ta.28501.2.S1_x_at,BJ215590
Ta.28501.3.S1_a_at,BJ234908
Ta.28502.1.A1_at,BJ227739
Ta.28502.2.S1_at,CA630139
Ta.28504.1.S1_at,BJ226469
Ta.28506.1.S1_at,BJ231943
Ta.28507.1.S1_at,BJ232462
Ta.28507.2.S1_at,CA697634
Ta.28508.1.S1_at,CA615809
Ta.28508.1.S1_x_at,CA615809
Ta.28511.2.A1_a_at,BJ263097
Ta.28511.3.S1_at,CA608017
Ta.28513.1.S1_s_at,BJ248097
Ta.28514.1.A1_at,BJ254186
Ta.28514.2.S1_at,BJ292478
Ta.28514.2.S1_s_at,BJ292478
Ta.28515.1.S1_s_at,BQ169123
Ta.28516.1.S1_at,BJ267752
Ta.28516.1.S1_x_at,BJ267752
Ta.28518.1.S1_at,CA709823
Ta.28519.1.S1_s_at,BJ259649
Ta.2852.1.S1_at,BQ168162
Ta.2852.2.A1_at,CA606461
Ta.2852.3.S1_at,CA720181
Ta.2852.3.S1_a_at,CA720181
Ta.28520.1.S1_at,BJ295338
Ta.28520.1.S1_s_at,BJ295338
Ta.28521.1.S1_at,BJ267832
Ta.28521.2.S1_at,BQ606769
Ta.28523.1.S1_at,BJ269743
Ta.28523.2.S1_at,CA608726
Ta.28524.1.A1_at,BJ270925
Ta.28524.1.A1_a_at,BJ270925
Ta.28524.2.S1_at,CA708392
Ta.28527.1.S1_at,BJ271793
Ta.28528.1.S1_at,BJ284564
Ta.28529.1.S1_at,BQ901386
Ta.2853.1.S1_at,BJ306897
Ta.2853.2.S1_at,CA681450
Ta.2853.2.S1_a_at,CA681450
Ta.2853.2.S1_x_at,CA681450
Ta.28531.1.S1_at,BJ281652
Ta.28533.1.S1_at,BJ288885
Ta.28534.1.A1_at,BJ288942
Ta.28535.1.S1_at,BJ289039
Ta.28536.1.S1_at,BJ291876
Ta.28537.1.S1_x_at,BQ160686
Ta.28538.1.S1_at,BJ274371
Ta.28538.1.S1_s_at,BJ274371
Ta.28539.1.A1_x_at,BJ286857
Ta.2854.1.S1_at,CK195632
Ta.2854.1.S1_x_at,CK195632
Ta.2854.2.S1_at,CK196202
Ta.2854.2.S1_x_at,CK196202
Ta.2854.3.A1_x_at,CA630193
Ta.28540.1.A1_at,CA684174
Ta.28540.3.S1_a_at,CA654726
Ta.28541.1.A1_at,CK152589
Ta.28542.1.S1_x_at,CA596678
Ta.28543.1.A1_at,BQ237291
Ta.28545.1.S1_at,CD490969
Ta.28545.2.S1_x_at,CA617705
Ta.28546.1.A1_at,AL823373
Ta.28547.1.S1_at,CA694273
Ta.28547.3.A1_x_at,BJ227852
Ta.28548.1.S1_at,BJ270312
Ta.28549.2.S1_a_at,BJ299871
Ta.28550.1.S1_at,BJ314399
Ta.28553.1.S1_s_at,X56601.1
Ta.28553.10.S1_at,BJ264471
Ta.28553.12.S1_x_at,BJ242344
Ta.28553.13.S1_at,BJ300199
